Player X,Player Y,Green X,Green Y,Collision,Vector 1x,Vector 1y
282,314,410,508,0,-125,63
404,587,381,219,0,116,52
426,520,103,194,0,107,22
363,269,592,595,0,-82,-30
424,492,352,337,0,-69,101
354,198,343,172,0,149,34
456,115,442,129,1,-63,-45
411,383,270,584,1,-37,10
440,286,467,580,0,-51,46
482,264,276,545,0,-21,19
527,617,211,281,0,36,75
-26,390,219,535,0,-74,-17
105,626,297,410,0,-70,141
529,490,162,521,0,-78,49
901,257,630,311,0,129,112
382,695,119,121,0,-125,95
685,143,104,588,0,34,-31
442,557,141,375,0,-23,106
243,483,159,277,0,-135,-44
584,565,534,262,0,63,70
725,338,341,199,0,133,54
186,475,505,539,0,-131,-48
220,313,196,416,0,-68,79
402,455,425,316,0,42,122
206,467,684,316,0,-18,77
270,290,580,394,0,68,-10
207,522,608,342,0,-34,12
19,212,124,428,0,-29,14
409,420,344,341,0,-7,3
-110,374,185,347,1,-96,2
531,163,281,594,0,24,-41
72,432,139,150,0,-104,-30
393,513,141,141,0,-1,126
397,459,597,436,0,-29,48
560,652,253,412,0,79,90
371,373,208,580,0,-110,27
415,241,510,477,0,68,-41
79,642,171,252,0,-92,131
525,228,391,259,0,-149,110
660,249,682,476,0,-46,-6
21,321,466,561,0,-128,7
244,656,200,154,0,-57,75
389,230,480,500,0,-46,53
297,637,468,110,0,-3,43
506,507,554,430,0,33,72
210,456,475,293,1,40,70
571,316,537,458,0,135,-15
449,153,552,159,0,144,24
341,509,166,532,0,39,73
164,567,378,589,0,-135,142
256,483,139,497,0,-133,-39
712,490,412,435,0,96,132
148,537,527,365,0,126,130
592,561,100,335,0,82,47
611,338,587,530,0,50,89
166,862,380,501,0,-36,141
214,561,141,226,0,-51,24
515,329,125,510,0,-20,137
369,369,516,516,0,65,116
365,265,585,190,0,31,83
357,219,582,137,0,21,137
296,818,365,577,0,-149,130
493,321,522,459,0,106,78
278,428,470,164,0,-70,117
866,737,601,212,0,120,29
617,140,430,580,0,-5,-12
561,186,228,260,0,57,-38
386,131,116,116,0,98,12
61,375,654,401,0,-105,-28
655,170,645,149,0,96,-10
604,289,237,576,1,114,-7
448,122,393,278,0,-112,51
373,592,358,172,0,12,23
487,293,672,235,0,-41,58
386,536,301,274,0,92,-25
264,621,580,404,0,13,118
652,307,516,517,0,98,35
808,311,108,365,0,62,106
446,687,533,214,0,134,146
654,695,696,272,0,36,136
332,309,695,429,0,126,12
513,500,582,149,0,96,41
547,423,409,419,0,122,13
413,508,108,532,0,-50,-46
384,394,356,288,0,127,56
106,518,646,117,0,-17,39
62,529,144,102,0,-131,2
550,761,309,412,0,-16,123
453,282,310,154,0,89,9
284,518,670,568,0,-78,115
317,401,149,108,0,122,-10
453,701,665,224,0,-12,128
146,704,417,590,0,-88,134
567,524,225,360,0,-77,3
473,410,316,229,0,-25,-45
354,339,363,252,0,28,128
536,562,593,264,1,48,-25
185,627,524,348,0,9,-2
164,186,157,482,0,-81,-10
428,639,240,456,0,11,80
